Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
San Diego,Jim Brovelli [363],,51,448,2,0,61,435
Rhode Island,Claude English [978],,183,448,2,0,247,435
Saint Francis (PA),Kevin Porter [2561],,86,448,2,0,121,435
Hofstra,Dick Berg [219],,31,448,2,0,91,435
Old Dominion,Paul Webb [3329],,95,448,2,0,1,435
Southern Mississippi,M.K. Turk [3207],,108,448,2,0,151,435
New Hampshire,Gerry Friel [1127],,27,448,2,0,61,435
Indiana State,Dave Schellhase [2836],,196,448,2,0,233,435
Cincinnati,Tony Yates [3488],,109,448,2,0,181,435
Morehead State,Wayne Martin [2036],,167,448,2,0,31,435
Tennessee,Don DeVoe [808],,249,448,2,0,181,435
Chattanooga,Murray Arnold [94],,5,448,2,0,1,435
Memphis,Dana Kirk [1771],,106,448,2,0,91,435
Missouri State,Charles Spoonhour [3001],,87,448,2,0,1,435
Providence,Joseph Mullaney [2298],,186,448,2,0,151,435
American,Ed Tapscott [3113],,33,448,2,0,61,435
Green Bay,Dick Lien [1907],,93,448,2,0,209,435
La Salle,Lefty Ervin [984],,24,448,2,0,1,435
Mississippi,Lee Hunt [1565],,246,448,2,0,61,435
Purdue,Gene Keady [1710],,236,448,2,0,61,435
Weber State,Neil McCarthy [2076],,179,448,2,0,31,435
Portland,Jack Avina [106],,54,448,2,0,151,435
Alabama-Birmingham,Gene Bartow [163],,96,448,2,0,91,435
Kansas State,Jack Hartman [1384],,122,448,2,0,151,435
Saint Peter's,Bob Dukiet [899],,91,448,2,0,61,435
Maryland-Eastern Shore,Kirkland Hall [1321],,90,448,2,0,91,435
Penn State,Bruce Parkhill [2467],,179,448,2,0,151,435
Fordham,Thomas Penders [2500],,90,448,2,0,1,435
Maine,Skip Chappelle [546],,29,448,2,0,121,435
Northern Illinois,John McDougal [2114],,217,448,2,0,209,435
Cal State Fullerton,George McQuarn [2160],,183,448,2,0,61,435
East Carolina,Charlie Harrison [1375],,19,448,2,0,151,435
Eastern Kentucky,Max Good [1224],,178,448,2,0,61,435
Illinois-Chicago,Willie Little [1915],,90,448,2,0,151,435
Houston Baptist,Gene Iba [1588],,171,448,2,0,91,435
Bradley,Dick Versace [3248],,193,448,2,0,121,435
St. Francis (NY),Gene Roberti [2716],,100,448,2,0,151,435
Creighton,Willie Reed [2654],,198,448,2,0,247,435
Mississippi Valley State,Lafayette Stribling [3069],,44,448,2,0,121,435
Bowling Green State,John Weinert [3337],,182,448,2,0,1,435
Georgetown,John Thompson [3154],,182,448,2,0,91,435
Marshall,Rick Huckabay [1549],,24,448,2,0,61,435
