Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv
Syracuse,Syracuse_UNKNOWN_COACH,,54,6,60,17,45,2
Virginia Medical,Virginia Medical_UNKNOWN_COACH,,66,6,60,17,57,2
Army,Charles Daly [430],,10,6,11,17,9,2
South Carolina,N.B. Edgerton [545],,64,6,37,17,57,2
Wake Forest,Frank Thompson [1829],,69,6,60,17,70,2
West Virginia Wesleyan,Felton [606],McIntyre [1214],50,6,25,17,27,2
Lafayette,George McCaa [1179],,65,6,60,17,45,2
Colorado Mines,Harry Buckingham [217],Erle Kristler [1044],28,6,24,17,57,2
Baylor,Norman Payne [1438],,61,6,60,17,75,2
Washington & Lee,H.L. Dowd [515],,47,6,21,17,27,2
Dartmouth,Frank Cavanaugh [285],,49,6,29,17,27,2
Lehigh,Tom Keady [977],,49,6,60,17,35,2
Alabama,Tubby Graves [723],,56,6,35,17,35,2
Florida,G.E. Pyle [1501],,64,6,60,17,63,2
Sewanee,Harris Cope [359],,54,6,39,17,27,2
Tennessee,Zora Clevenger [321],,61,6,56,17,45,2
Navy,Navy_UNKNOWN_COACH,,14,6,19,17,20,2
Carlisle,Pop Warner [1926],,50,6,7,17,20,2
Southwestern (TX),Southwestern (TX)_UNKNOWN_COACH,,59,6,60,17,70,2
Colorado College,C.J. Rothget [1592],,33,6,60,17,70,2
West Virginia,West Virginia_UNKNOWN_COACH,,65,6,60,17,35,2
Washington & Jefferson,Bob Folwell [638],,6,6,9,17,1,2
Virginia,W. Warren [1930],,52,6,2,17,1,2
Yale,Howard Jones [962],,19,6,44,17,27,2
Mississippi,Mississippi_UNKNOWN_COACH,,53,6,42,17,45,2
Texas,Dave Allerdice [21],,10,6,15,17,9,2
Purdue,Andy Smith [1697],,11,6,52,17,9,2
Clemson,Bob Williams [1982],,58,6,34,17,45,2
Virginia Tech,Branch Bocock [158],,46,6,32,17,35,2
Drake,John Griffith [733],,28,6,55,17,57,2
Wyoming,Ralph Thacker [1823],,36,6,60,17,77,2
Kansas State,Guy Lowman [1123],,28,6,54,17,57,2
Northwestern,Dennis Grady [716],,27,6,60,17,45,2
Kansas,Arthur Mosse [1320],,24,6,38,17,45,2
Virginia Military Institute,Henry Poaque [1475],,50,6,8,17,9,2
Harvard,Percy Haughton [805],,6,6,23,17,1,2
Auburn,Mike Donahue [500],,5,6,4,17,1,2
Penn State,Bill Hollenback [860],,64,6,60,17,45,2
North Carolina State,North Carolina State_UNKNOWN_COACH,,48,6,10,17,20,2
Michigan,Fielding Yost [2036],,6,6,27,17,1,2
Louisiana State,Pat Dwyer [538],,10,6,33,17,9,2
Pennsylvania,George Brooke [193],,61,6,49,17,35,2
Colorado,Fred Folsom [637],,25,6,14,17,45,2
Tulane,A.C. Hoffman [854],,60,6,50,17,63,2
Arkansas,E.T. Pickering [1463],,51,6,48,17,57,2
Cornell,Cornell_UNKNOWN_COACH,,60,6,28,17,27,2
Missouri,Missouri_UNKNOWN_COACH,,18,6,16,17,27,2
Mercer,Mercer_UNKNOWN_COACH,,67,6,60,17,70,2
Chicago,Amos Alonzo Stagg [1730],,5,6,6,17,1,2
Iowa,Jesse Hawley [808],,13,6,43,17,9,2
Brown,Edward Robinson [1561],,63,6,60,17,45,2
Georgia Tech,John Heisman [821],,49,6,26,17,20,2
Indiana,James Sheldon [1669],,20,6,46,17,27,2
Notre Dame,Jesse Harper [783],,5,6,1,17,1,2
Georgetown,Frank Gargan [675],,59,6,3,17,35,2
Vanderbilt,Dan McGugin [1210],,51,6,41,17,9,2
Pittsburgh,Joseph Duff [528],,57,6,5,17,9,2
Wisconsin,William Juneau [972],,16,6,53,17,20,2
Colorado State,Harry Hughes [900],,31,6,51,17,63,2
Colgate,Laurence Bankart [73],,14,6,40,17,20,2
Minnesota,Henry Williams [1985],,11,6,20,17,9,2
Illinois,Robert Zuppke [2053],,15,6,13,17,20,2
Citadel,George Rogers [1576],,68,6,60,17,70,2
Ohio State,John Wilce [1977],,24,6,58,17,35,2
Bucknell,By Dickson [479],,62,6,18,17,45,2
Mississippi State,William Chadwick [291],,11,6,30,17,9,2
Oklahoma,Bennie Owen [1412],,21,6,12,17,35,2
Princeton,W. Gresham Andrews [40],,48,6,31,17,35,2
Davidson,W.T. Cook [351],,67,6,60,17,63,2
North Carolina,T.C. Trenchard [1861],,58,6,36,17,45,2
Denver,Denver_UNKNOWN_COACH,,35,6,57,17,75,2
Iowa State,Homer Hubbard [893],,22,6,47,17,35,2
Georgia,W.A. Cunningham [416],,50,6,22,17,9,2
Utah,Fred Bennion [119],,31,6,45,17,63,2
Washington (MO),W.P. Edmunds [546],,31,6,60,17,63,2
Nebraska,Jumbo Stiehm [1755],,6,6,17,17,1,2
Texas A&M,Charley Moran [1303],,31,6,59,17,63,2
