Tom Allen [44]: (-0.5923498448217493, 0.5923498448217493) -- 1
Jay McWilliams [2162]: (-0.5923498448217493, 0.5923498448217493) -- 1
Bob McHenry [2129]: (-0.5923498448217493, 0.5923498448217493) -- 1
Ted Lenhardt [1891]: (-0.5923498448217493, 0.5923498448217493) -- 1
Will Bryan [402]: (-0.5923498448217493, 0.5923498448217493) -- 1
Doc Fletcher [1069]: (-0.5923498448217493, 0.5923498448217493) -- 1
Squint Hunter [1572]: (-0.5923498448217493, 0.5923498448217493) -- 1
Harry Rhodes [2682]: (-0.5923498448217493, 0.5923498448217493) -- 1
Jim Browning [396]: (-0.5923498448217493, 0.5923498448217493) -- 1
W.S. Milligan [2223]: (-0.5923498448217493, 0.5923498448217493) -- 1
Dudy Noble [2370]: (-0.5923498448217493, 0.5923498448217493) -- 1
Walter Hargesheimer [1352]: (-0.5923498448217493, 0.5923498448217493) -- 1
Ervin Hinds [1477]: (-0.5864326850584357, 0.598267004585063) -- 1
Alton Kircher [1770]: (-0.5862522838461396, 0.5984474057973591) -- 1
F.G. Carter [511]: (-0.5858982319185235, 0.5988014577249752) -- 1
Graham [1240]: (-0.5857708974533283, 0.5989287921901704) -- 1
Jeff Mangold [2009]: (-0.585547123733314, 0.5991525659101847) -- 1
S.K. Fletcher [1071]: (-0.5851034680101551, 0.5995962216333436) -- 1
Tony Coma [621]: (-0.5835002872996254, 0.6011994023438733) -- 1
Jared Grasso [1244]: (-0.583286400712988, 0.6014132889305107) -- 1
Hank Witt [3455]: (-0.5805155252951222, 0.6041841643483765) -- 1
Hal Lee [1880]: (-0.5805155252951222, 0.6041841643483765) -- 1
Lloyd Roberts [2722]: (-0.5804450829169875, 0.6042546067265112) -- 1
Harry Gilligan [1198]: (-0.5802286327005373, 0.6044710569429614) -- 1
Ed Burns [431]: (-0.5798498448217494, 0.6048498448217493) -- 1
J.B. Andrews [75]: (-0.5796109913185646, 0.6050886983249341) -- 1
C.M. Rademacher [2618]: (-0.5791919500849072, 0.6055077395585915) -- 1
George Davidson [748]: (-0.5785567413734735, 0.6061429482700252) -- 1
C.C. Childs [555]: (-0.577857091198561, 0.6068425984449377) -- 1
Ernie Smith [2958]: (-0.5774983596732345, 0.6072013299702642) -- 1
Gordon Gibbons [1182]: (-0.5773122508367869, 0.6073874388067118) -- 1
John Hancock [1337]: (-0.5768459688527571, 0.6078537207907416) -- 1
A.A. Gillian [1196]: (-0.5743857729654619, 0.6103139166780368) -- 1
Dean Cromwell [701]: (-0.5722156166338299, 0.6124840730096688) -- 1
Joe Mullaney [2297]: (-0.5719416815564432, 0.6127580080870555) -- 1
John Griffin [1276]: (-0.5706107143869668, 0.6140889752565319) -- 1
John O'Rouke [2412]: (-0.5683977490133661, 0.6163019406301325) -- 1
Clark Jarnigan [1616]: (-0.5678099675211359, 0.6168897221223628) -- 1
Joe Etzel [988]: (-0.5675973695742246, 0.6171023200692741) -- 1
Norman Paine [2454]: (-0.5633643375753725, 0.6213353520681262) -- 1
V.J. Edney [941]: (-0.5625879400598446, 0.6221117495836541) -- 1
Jim McGregor [2125]: (-0.5597411491695754, 0.6249585404739233) -- 1
Squire Behrens [187]: (-0.559455107979644, 0.6252445816638547) -- 1
Louis Pieri [2533]: (-0.5583362393795724, 0.6263634502639263) -- 1
Selwyn Edwards [949]: (-0.5583362393795724, 0.6263634502639263) -- 1
L.W. Hill [1469]: (-0.5578670862010597, 0.626832603442439) -- 1
Ray Elder [956]: (-0.5566355591074637, 0.628064130536035) -- 1
Howard Yerges [3492]: (-0.5564217011091745, 0.6282779885343241) -- 1
Tommy Dwyer [916]: (-0.5564217011091745, 0.6282779885343241) -- 1
George Koonsman [1794]: (-0.555986208458113, 0.6287134811853857) -- 1
S.W. Hobbs [1488]: (-0.5520813884459104, 0.6326183011975883) -- 1
Robert Marshall [2024]: (-0.5515335182911371, 0.6331661713523616) -- 1
Herb Bunker [413]: (-0.5509297264785541, 0.6337699631649446) -- 1
Mathew Brown [381]: (-0.5506831781550827, 0.634016511488416) -- 1
Basil Hayden [1399]: (-0.5504336771570787, 0.63426601248642) -- 1
John McKnight [2140]: (-0.5504336771570787, 0.63426601248642) -- 1
W.W.H. Mustaine [2325]: (-0.5488715839521842, 0.6358281056913145) -- 1
George Sauer [2820]: (-0.5480460473533949, 0.6366536422901038) -- 1
Billy Henry [1434]: (-0.5459363427120447, 0.638763346931454) -- 1
Ray B. McCandless [2069]: (-0.5447307972027018, 0.6399688924407969) -- 1
Louis Moorhead [2262]: (-0.5444456532049828, 0.6402540364385159) -- 1
T.D. Hackney [1299]: (-0.5438649963369009, 0.6408346933065978) -- 1
Happy Mahfouz [1993]: (-0.5421567946286991, 0.6425428950147996) -- 1
Walter Hambrick [1327]: (-0.5417880470689403, 0.6429116425745584) -- 1
Jack Starrett [3022]: (-0.5413944308090105, 0.6433052588344882) -- 1
Thomas Thompson [3159]: (-0.5387784162503207, 0.645921273393178) -- 1
Benjamin Sacks [2800]: (-0.5350250040574182, 0.6496746855860805) -- 1
Russ Easton [929]: (-0.5343788303289957, 0.650320859314503) -- 1
Eddie Jordan [1684]: (-0.5342103099380284, 0.6504893797054703) -- 1
Niko Medved [2167]: (-0.5342103099380284, 0.6504893797054703) -- 1
Bobby Watson [3317]: (-0.5339840860668855, 0.6507156035766132) -- 1
