Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
Mississippi State,Babe McCarthy [2073],,,,,,1,,,
Kansas State,Tex Winter [3445],,,,,,2,,,
Auburn,Joel Eaves [931],,,,,,3,,,
Kentucky,Adolph Rupp [2789],,,,,,4,,,
St. Bonaventure,Edward Donovan [854],,,,,,5,,,
Cincinnati,George Smith [2960],,,,,,6,,,
California,Pete Newell [2354],,,,,,7,,,
Bradley,Chuck Orsborn [2439],,,,,,8,,,
West Virginia,Fred Schaus [2835],,,,,,9,,,
North Carolina State,Everett Case [516],,,,,,10,,,
Michigan State,Forddy Anderson [61],,,,,,11,,,
Saint Joseph's,Jack Ramsay [2627],,,,,,12,,,
Saint Francis (PA),Skip Hughes [1558],,,,,,13,,,
North Carolina,Frank McGuire [2128],,,,,,14,,,
Marquette,Eddie Hickey [1453],,,,,,15,,,
Princeton,Cappy Cappon [481],,,,,,16,,,
Dartmouth,Doggie Julian [1695],,,,,,17,,,
Seattle,Vincent Cazzetta [533],,,,,,18,,,
Saint Louis,John Benington [209],,,,,,19,,,
Texas Christian,Buster Brannon [326],,,,,,20,,,
St. John's (NY),Joe Lapchick [1851],,,,,,21,,,
Virginia Tech,Chuck Noe [2371],,,,,,22,,,
Saint Mary's (CA),James Weaver [3327],,,,,,23,,,
Navy,Ben Carnevale [501],,,,,,24,,,
Utah,Jack Gardner [1154],,,,,,25,,,
Idaho State,John Grayson [1252],,,,,,26,,,
Citadel,Norm Sloan [2944],,,,,,27,,,
Oklahoma City,Abe Lemons [1890],,,,,,28,,,
Providence,Joseph Mullaney [2298],,,,,,29,,,
Boston University,Matt Zunic [3512],,,,,,30,,,
Memphis,Bob Vanatta [3238],,,,,,31,,,
Utah State,Cecil Baker [118],,,,,,32,,,
Eastern Kentucky,Paul McBrayer [2059],,,,,,33,,,
Miami (FL),Bruce Hale [1315],,,,,,34,,,
Villanova,Alex Severence [2885],,,,,,35,,,
Manhattan,Kenneth Norton [2380],,,,,,36,,,
Connecticut,Hugh Greer [1267],,,,,,37,,,
Portland,Albert E. Negratti [2344],,,,,,38,,,
Bucknell,Ben Kribbs [1807],,,,,,39,,,
La Salle,Dudey Moore [2259],,,,,,40,,,
Bowling Green State,Harold Anderson [64],,,,,,41,,,
Washington,Tippy Dye [919],,,,,,42,,,
