Alan Gooch [707]: (-0.41700948444718106, 0.4342508637575259) -- 1
Matt Rhule [1543]: (-0.4096301741023535, 0.4416301741023535) -- 1
Mike Canales [256]: (-0.40882345141327786, 0.4424368967914291) -- 1
Florida A&M_UNKNOWN_COACH: (-0.39201672872420223, 0.45924361948050474) -- 1
Mike Bath [96]: (-0.3856301741023535, 0.46563017410235347) -- 1
Paul Petrino [1456]: (-0.3856301741023535, 0.46563017410235347) -- 1
Mark Hutson [910]: (-0.3752100060351266, 0.47605034216958036) -- 1
Keith Burns [226]: (-0.3480439672058018, 0.5032163809989052) -- 1
Michael Haywood [815]: (-0.3415965606569753, 0.5096637875477317) -- 1
Sean Kugler [1052]: (-0.3376301741023535, 0.5136301741023535) -- 1
P.J. Fleck [631]: (-0.3376301741023535, 0.5136301741023535) -- 1
Todd Monken [1293]: (-0.3376301741023535, 0.5136301741023535) -- 1
Ellis Johnson [950]: (-0.3361992797934104, 0.5150610684112966) -- 1
Paul Haynes [814]: (-0.3136301741023535, 0.5376301741023535) -- 1
Mike Kruczek [1048]: (-0.2963198292747673, 0.5549405189299397) -- 1
Curtis Johnson [948]: (-0.2711586293869063, 0.5801017188178006) -- 1
Mike DeBord [453]: (-0.2621728789371091, 0.3397590858336608) -- 2
Larry Porter [1483]: (-0.254747494990427, 0.34718446978034295) -- 2
Lee Owens [1415]: (-0.2535521892819367, 0.34837977548883325) -- 2
Jeff Woodruff [2018]: (-0.2492418444543505, 0.35269012031641944) -- 2
George Barlow [80]: (-0.24915958586705936, 0.6021007623376476) -- 1
Dean Pees [1443]: (-0.24493149962676428, 0.35700046514400563) -- 2
Tim Kish [1024]: (-0.23235286317798373, 0.6189074850267232) -- 1
David Elson [561]: (-0.22612985245596617, 0.26534553873047595) -- 3
Trent Miles [1268]: (-0.22563017410235348, 0.6256301741023536) -- 1
Steve Logan [1113]: (-0.21873362237821556, 0.6325267258264914) -- 1
Don Strock [1778]: (-0.21200555867065543, 0.2794698325157867) -- 3
Todd Dodge [493]: (-0.20932312976689052, 0.2821522614195516) -- 3
Stan Parrish [1429]: (-0.208529007595469, 0.39340295717530094) -- 2
Garrick McGee [1207]: (-0.2079903726292874, 0.3939415921414825) -- 2
Gary Nord [1372]: (-0.2018280513509022, 0.40010391341986773) -- 2
Mike Locksley [1111]: (-0.20012564625093118, 0.4018063185198387) -- 2
Rob Ianello [915]: (-0.1959239655786623, 0.4060079991921076) -- 2
Charley Molnar [1290]: (-0.19173021002766139, 0.41020175474310855) -- 2
Bob Davie [440]: (-0.18877086043416547, 0.41316110433660447) -- 2
Gary Darnell [434]: (-0.1797181843404441, 0.31175720684599806) -- 3
Terry Bowden [167]: (-0.1759903726292874, 0.42594159214148253) -- 2
Brian Polian [1478]: (-0.16963017410235348, 0.6816301741023535) -- 1
Old Dominion_UNKNOWN_COACH: (-0.16963017410235348, 0.6816301741023535) -- 1
Willie Taggart [1804]: (-0.16730632304420145, 0.32416906814224067) -- 3
Norm Chow [303]: (-0.16438061653172642, 0.4375513482390435) -- 2
Jim Hofher [855]: (-0.16395520119151435, 0.26167497291083913) -- 4
Justin Fuente [660]: (-0.16281964092197032, 0.4391123238487996) -- 2
Jon Embree [564]: (-0.15933859972500375, 0.4425933650457662) -- 2
Ron McBride [1178]: (-0.15838879479200868, 0.6928715534126983) -- 1
Brian Knorr [1031]: (-0.1438831606758058, 0.3475922305106363) -- 3
Don Treadwell [1860]: (-0.14051643671345765, 0.4614155280573123) -- 2
Carl Pelini [1445]: (-0.13664077913335246, 0.46529118563741745) -- 2
Dana Bible [131]: (-0.1329472472730852, 0.7183131009316217) -- 1
Nick Holt [874]: (-0.11495259397917501, 0.4869793707915949) -- 2
Jim McElwain [1203]: (-0.11225053523091344, 0.4896814295398565) -- 2
Chris Tormey [1856]: (-0.10700046514400566, 0.4949314996267643) -- 2
Mick Dennehy [460]: (-0.10667172437714842, 0.3848036668092937) -- 3
DeWayne Walker [1910]: (-0.09936970889991624, 0.32626046520243723) -- 4
Mike Collins [343]: (-0.09804396720580177, 0.7532163809989052) -- 1
Kevin Steele [1741]: (-0.09804396720580177, 0.7532163809989052) -- 1
Tom Cable [232]: (-0.09406943066124704, 0.5078625341095229) -- 2
Bob Toledo [1849]: (-0.09096634755537841, 0.3346638265469751) -- 4
Robbie Caldwell [240]: (-0.08109235897630307, 0.7701679892284039) -- 1
Dana Dimel [484]: (-0.0635612085851121, 0.7876991396195949) -- 1
Jeff Genyk [680]: (-0.05879938800824547, 0.32189581301892767) -- 5
Curtis Johnson [947]: (-0.05763017410235349, 0.7936301741023535) -- 1
Hal Mumme [1326]: (-0.05662294917907873, 0.36900722492327476) -- 4
Greg Robinson [1562]: (-0.056551734252430125, 0.3690784398499234) -- 4
Neil Callaway [247]: (-0.04580978538753616, 0.334885415639637) -- 5
