Fred Mackey [1135]: (-0.9988280067366478, 0.14961577006615923) -- 2
Ellis Johnson [950]: (-0.9645152226639252, 0.18392855413888187) -- 1
Centre_UNKNOWN_COACH: (-0.8825963542959021, 0.265847422506905) -- 2
Dave Holmes [869]: (-0.8820711169728683, 0.26637265982993874) -- 1
Paul Haynes [814]: (-0.8522415864269847, 0.2962021903758224) -- 1
Daddy Boles [161]: (-0.8451445000384714, 0.3032992767643357) -- 2
George Henshaw [829]: (-0.8427702436132147, 0.30567353318959234) -- 1
Moody Sarno [1619]: (-0.8207709364014364, 0.3276728404013706) -- 2
Floyd Millet [1276]: (-0.8079338287792301, 0.34050994802357687) -- 1
Matt Rhule [1543]: (-0.8039342981575197, 0.3445094786452874) -- 1
G.G. Zitrides [2051]: (-0.7929151095179752, 0.3555286672848319) -- 1
Regis (CO)_UNKNOWN_COACH: (-0.7794171484302863, 0.3690266283725208) -- 3
Van Gillam [693]: (-0.777515720992604, 0.370928055810203) -- 1
Harry Mahnken [1140]: (-0.7742736204754123, 0.3741701563273948) -- 1
Johnny Merriman [1252]: (-0.7607709364014366, 0.38767284040137057) -- 2
P.A. Holstein [872]: (-0.7461230703061784, 0.40232070649662866) -- 1
Bob Otolski [1410]: (-0.7337832195706595, 0.4146605572321476) -- 1
Rice Warren [1929]: (-0.728774470967276, 0.4196693058355311) -- 1
Peyton Evans [582]: (-0.7265905367058524, 0.4218532400969547) -- 1
P.J. Fleck [631]: (-0.7163335102364964, 0.4321102665663107) -- 1
Corky Nelson [1355]: (-0.7144042357741316, 0.4340395410286755) -- 1
Eddy Troxel [1865]: (-0.7021977208527712, 0.44624605595003586) -- 1
Babe Brown [198]: (-0.6986200358677803, 0.4498237409350267) -- 2
T.D. Hackney [746]: (-0.6916975727448642, 0.4567462040579428) -- 1
W.H. Kirkpatrick [1022]: (-0.6795984378963632, 0.46884533890644386) -- 1
Clem Crowe [403]: (-0.6792867604014212, 0.4691570164013858) -- 2
Al Michaels [1262]: (-0.6677539796906127, 0.48068979711219434) -- 1
Clyde Carpenter [268]: (-0.6653119288291893, 0.14676045355956563) -- 3
Rick Lantz [1066]: (-0.6615460444605241, 0.48689773234228295) -- 1
Larry Siemering [1685]: (-0.6610774387495024, 0.48736633805330465) -- 2
Harry Lightsey [1101]: (-0.6588117864035674, 0.48963199039923966) -- 1
L.A. Cobbett [323]: (-0.6587566089268709, 0.48968716787593614) -- 1
Lud Fiser [621]: (-0.6577336415442723, 0.4907101352585348) -- 1
Bud Davis [441]: (-0.6469799956919138, 0.5014637811108933) -- 1
William Hollenback [862]: (-0.6445137746868589, 0.5039300021159482) -- 1
Guy Looabaugh [1119]: (-0.64433542950031, 0.5041083473024971) -- 1
Boyd Converse [349]: (-0.6439635891278075, 0.5044801876749996) -- 1
John Tomlin [1854]: (-0.643439739955922, 0.5050040368468851) -- 1
Tim Kish [1024]: (-0.6429788199740524, 0.5054649568287547) -- 1
Oglethorpe_UNKNOWN_COACH: (-0.6387077136114971, 0.5097360631913099) -- 1
Larry Beightol [107]: (-0.6364593756267729, 0.5119844011760342) -- 1
Herb McCracken [1195]: (-0.6360082378952303, 0.5124355389075768) -- 3
Presbyterian_UNKNOWN_COACH: (-0.6358427863745474, 0.5126009904282597) -- 1
Mike Bath [96]: (-0.6317268129077989, 0.5167169638950082) -- 1
Alan Gooch [707]: (-0.627634504164955, 0.520809272637852) -- 1
Ray Door [511]: (-0.6181893534486553, 0.1938830289400995) -- 2
Geoffrey Keyes [998]: (-0.617164507777466, 0.5312792690253411) -- 1
Willie Brown [210]: (-0.6149531908272826, 0.5334905859755245) -- 1
Silas Williams [1988]: (-0.6138740728710714, 0.5345697039317356) -- 2
John King [1014]: (-0.6109264721851941, 0.5375173046176129) -- 1
Bill Parcells [1424]: (-0.6102269279317545, 0.5382168488710526) -- 1
Portland_UNKNOWN_COACH: (-0.608287826850838, 0.540155949951969) -- 2
Gus Farwick [595]: (-0.6057871336613516, 0.5426566431414555) -- 1
Northern Arizona_UNKNOWN_COACH: (-0.5980059231657255, 0.5504378536370815) -- 1
Sam Francis [646]: (-0.5972018521951885, 0.5512419246076186) -- 1
John Gorsuch [711]: (-0.5936046855154021, 0.5548390912874049) -- 1
Robert Pfohl [1459]: (-0.5898650697678643, 0.5585787070349427) -- 1
Jack Owsley [1416]: (-0.5867933643344985, 0.5616504124683086) -- 1
Reggie Herring [831]: (-0.585264977192206, 0.563178799610601) -- 1
Irvin Etlar [579]: (-0.5846821992332616, 0.5637615775695455) -- 1
Charley Molnar [1290]: (-0.5843256310262639, 0.5641181457765432) -- 2
Mark Hutson [910]: (-0.5842711609104116, 0.5641726158923954) -- 1
Sean Kugler [1052]: (-0.5837268129077988, 0.5647169638950083) -- 1
Stanley Cofall [329]: (-0.5837014590584124, 0.5647423177443947) -- 1
Montana_UNKNOWN_COACH: (-0.5822844804782349, 0.5661592963245722) -- 2
Eddie Kriwiel [1046]: (-0.5809781789583073, 0.5674655978444998) -- 1
Akron_UNKNOWN_COACH: (-0.5769345103843492, 0.5715092664184579) -- 1
Luke Fickell [618]: (-0.5763175974050387, 0.5721261793977683) -- 1
Charles Brown [200]: (-0.575655246384599, 0.5727885304182081) -- 2
Dick Towers [1857]: (-0.5740641373508204, 0.5743796394519867) -- 1
Mike Canales [256]: (-0.5735403498659906, 0.5749034269368165) -- 1
Walt Nadzak [1344]: (-0.5733465743414913, 0.5750972024613158) -- 1
Morris Watts [1937]: (-0.5711874962832131, 0.577256280519594) -- 1
Joe Ruetz [1598]: (-0.5689732493411672, 0.5794705274616399) -- 1
William Shaw [1664]: (-0.5683714499816223, 0.5800723268211848) -- 1
Jim Hilles [848]: (-0.5675751691756885, 0.5808686076271186) -- 1
Bill Cunningham [414]: (-0.5648544650279341, 0.5835893117748729) -- 1
Vince Carillot [263]: (-0.5624852898702126, 0.5859584869325944) -- 1
Claude Rothgeb [1591]: (-0.5624145389653802, 0.5860292378374269) -- 1
S.M. Alexander [14]: (-0.5603453251912617, 0.5880984516115454) -- 1
Bernie Shively [1681]: (-0.5593557032585551, 0.589088073544252) -- 1
Wayne Sutton [1796]: (-0.5583528416533565, 0.5900909351494505) -- 1
Dixon Foster [643]: (-0.5564477764430974, 0.5919960003597097) -- 2
E.T. MacDonnell [1131]: (-0.5563348437523042, 0.5921089330505028) -- 1
John Mason [1164]: (-0.5555681965821145, 0.5928755802206925) -- 1
L.C. Sullivan [1786]: (-0.5536033317003726, 0.5948404451024345) -- 2
Dana Bible [131]: (-0.5516357961459852, 0.5968079806568218) -- 1
Tommy Dowler [517]: (-0.5512805049203702, 0.5971632718824369) -- 1
James Driver [524]: (-0.5471272643420051, 0.601316512460802) -- 1
Bob Hicks [841]: (-0.54351623229752, 0.6049275445052871) -- 1
Wilbur White [1965]: (-0.5415810479618465, 0.6068627288409606) -- 1
Louis Skender [1694]: (-0.539750942030132, 0.6086928347726751) -- 1
Harvey Hester [836]: (-0.5397391297807139, 0.6087046470220931) -- 1
Phil Ahwesh [8]: (-0.538578971214022, 0.6098648055887851) -- 1
Paul Petrino [1456]: (-0.5381220853816594, 0.6103216914211477) -- 1
Thomas Kelly [988]: (-0.5360889741157254, 0.6123548026870816) -- 1
Phillips_UNKNOWN_COACH: (-0.5354427003220518, 0.6130010764807553) -- 1
Todd Monken [1293]: (-0.5291240551842175, 0.6193197216185896) -- 1
Bob Kappes [974]: (-0.5242218884014035, 0.6242218884014036) -- 1
Jack Thomas [1828]: (-0.5240420387837192, 0.6244017380190878) -- 1
Carl Wise [2004]: (-0.5240198839123891, 0.2880524984763658) -- 2
Birmingham-Southern_UNKNOWN_COACH: (-0.5240085814607904, 0.6244351953420166) -- 1
George Levene [1091]: (-0.5216807130512716, 0.6267630637515355) -- 1
Clipper Smith [1698]: (-0.5150850243501589, 0.296987358038596) -- 2
Warren Schmakel [1637]: (-0.5147562947296244, 0.6336874820731827) -- 1
Frank Anderson [35]: (-0.5098946991242461, 0.638549077678561) -- 2
Chuck Banker [74]: (-0.5073016682179405, 0.6411421085848665) -- 1
Bob LaPointe [1067]: (-0.5046566710100991, 0.6437871057927079) -- 1
G.M. Billings [140]: (-0.504441893313238, 0.6440018834895691) -- 1
Spring Hill_UNKNOWN_COACH: (-0.5042266749560276, 0.6442171018467795) -- 3
J.J. Winn [2001]: (-0.5018662218634506, 0.6465775549393564) -- 1
Tom Gorman [710]: (-0.5014178940133731, 0.647025882789434) -- 1
Emil Ladyko [1058]: (-0.4983886891196402, 0.6500550876831669) -- 1
George Allen [16]: (-0.4938850302009161, 0.654558746601891) -- 1
Frank Loebs [1112]: (-0.49317341355816924, 0.31889896883058566) -- 2
George Cole [333]: (-0.4912318350995732, 0.6572119417032338) -- 1
Bum Phillips [1461]: (-0.4909092303046533, 0.6575345464981538) -- 1
Michael Haywood [815]: (-0.49018827495602535, 0.6582555018467817) -- 1
Hilman Walker [1912]: (-0.4894247882990864, 0.6590189885037206) -- 1
John Warren [1928]: (-0.4880031270948579, 0.6604406497079491) -- 1
Kass Kovalcheck [1040]: (-0.4872334574612389, 0.6612103193415682) -- 2
Harold Wilkes [1978]: (-0.4868510658198524, 0.6615927109829547) -- 2
Tom Harper [784]: (-0.4867448621289253, 0.6616989146738818) -- 1
Pat Collins [344]: (-0.48422105700397833, 0.6642227197988287) -- 1
Trevor Rees [1524]: (-0.4833376226951286, 0.6651061541076785) -- 2
Billy Alton [24]: (-0.4821229622494707, 0.6663208145533364) -- 1
Raymond Curfman [419]: (-0.4805351855285218, 0.6679085912742853) -- 2
J.B. Craig [379]: (-0.47957636062365216, 0.6688674161791549) -- 1
Frank Wickhorst [1972]: (-0.47547954000001175, 0.6729642368027953) -- 1
Merle Schlosser [1636]: (-0.4744628068487913, 0.6739809699540158) -- 2
Miami (OH)_UNKNOWN_COACH: (-0.4687900538654103, 0.6796537229373968) -- 2
Robert Marshall [1155]: (-0.46401758983469155, 0.34805479255406335) -- 2
Loyola Marymount_UNKNOWN_COACH: (-0.46328610486736965, 0.6851576719354374) -- 2
Whitman_UNKNOWN_COACH: (-0.4609991712842956, 0.6874446055185115) -- 2
Wayne Hart [796]: (-0.4609636324436727, 0.6874801443591344) -- 1
Okie Blanchard [152]: (-0.4594677900407478, 0.6889759867620593) -- 1
Charlie Jamerson [927]: (-0.4565706289965926, 0.3555017533921623) -- 2
Horace Hendrickson [825]: (-0.45640331996893824, 0.35566906241981666) -- 2
Bill Dole [497]: (-0.4533401758354792, 0.3587322065532757) -- 2
Delaware_UNKNOWN_COACH: (-0.4524625422326638, 0.6959812345701433) -- 2
Edwin Sweetland [1800]: (-0.4508274351506362, 0.6976163416521709) -- 1
Larry Porter [1483]: (-0.44649056862535635, 0.36558181376339854) -- 2
Walter Kichefski [1000]: (-0.4458465022100826, 0.7025972745927245) -- 1
