Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
1,1,Sep 15 1928,Sat,Washington,26,,Willamette,0,
2,1,Sep 15 1928,Sat,YMI,7,@,Stanford,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
3,2,Sep 22 1928,Sat,Baylor,31,,Stephen F. Austin,0,
4,2,Sep 22 1928,Sat,Clemson,30,,Newberry,0,
5,2,Sep 22 1928,Sat,Davidson,28,,Guilford,0,
6,2,Sep 22 1928,Sat,Davis & Elkins,7,@,West Virginia,0,
7,2,Sep 22 1928,Sat,South Carolina,19,,Erskine,0,
8,2,Sep 22 1928,Sat,Southern Methodist,60,,North Texas,6,
9,2,Sep 22 1928,Sat,Stanford,21,,West Coast Army,8,
10,2,Sep 22 1928,Sat,Texas A&M,21,,Trinity (Texas),0,
11,2,Sep 22 1928,Sat,Texas Christian,21,,Texas A&M-Commerce,0,
12,2,Sep 22 1928,Sat,UCLA,19,,California-Santa Barbara,0,
13,2,Sep 22 1928,Sat,Virginia Military Institute,14,,Hampden-Sydney,7,
14,2,Sep 22 1928,Sat,Washington,41,,USS Tennessee,0,
15,2,Sep 22 1928,Sat,Washington State,33,,Whitman,6,
16,2,Sep 22 1928,Sat,Wyoming,42,,Black Hills State,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
17,3,Sep 28 1928,Fri,Birmingham-Southern,6,,Auburn,0,Montgomery AL
18,3,Sep 29 1928,Sat,Arizona,7,,UCLA,7,
19,3,Sep 29 1928,Sat,Army,35,,Boston University,0,
20,3,Sep 29 1928,Sat,Baylor,45,,North Texas,0,
21,3,Sep 29 1928,Sat,Brigham Young,9,,Albertson,6,
22,3,Sep 29 1928,Sat,California,22,,Santa Clara,0,
23,3,Sep 29 1928,Sat,Clemson,6,,Davidson,0,
24,3,Sep 29 1928,Sat,Colgate,33,,St. Lawrence,6,
25,3,Sep 29 1928,Sat,Columbia,20,,Vermont,0,
26,3,Sep 29 1928,Sat,Dartmouth,39,,Norwich,6,
27,3,Sep 29 1928,Sat,Davis & Elkins,2,@,Navy,0,
28,3,Sep 29 1928,Sat,Denver,37,,Western State,6,
29,3,Sep 29 1928,Sat,Detroit Mercy,39,,DePaul,0,
30,3,Sep 29 1928,Sat,Fordham,27,,St. Bonaventure,0,
31,3,Sep 29 1928,Sat,Furman,6,,Duke,0,
32,3,Sep 29 1928,Sat,Georgetown,31,@,Mount St. Mary's,0,
33,3,Sep 29 1928,Sat,Grinnell,19,,William Penn,6,
34,3,Sep 29 1928,Sat,Indiana,14,,Wabash,0,
35,3,Sep 29 1928,Sat,Kansas State,32,,Bethany (Kansas),7,
36,3,Sep 29 1928,Sat,Marquette,31,,St. Viator,0,
37,3,Sep 29 1928,Sat,Maryland,31,,Washington (Maryland),0,
38,3,Sep 29 1928,Sat,Michigan State,103,,Kalamazoo,0,
39,3,Sep 29 1928,Sat,Mississippi,25,,Arkansas,0,
40,3,Sep 29 1928,Sat,Mississippi State,20,,Ouachita,6,
41,3,Sep 29 1928,Sat,Montana,13,,Anaconda Anodes,0,
42,3,Sep 29 1928,Sat,Montana State,15,,Idaho,13,
43,3,Sep 29 1928,Sat,New York University,21,,Niagara,0,
44,3,Sep 29 1928,Sat,North Carolina,65,,Wake Forest,0,
45,3,Sep 29 1928,Sat,North Carolina State,57,,Elon,0,
46,3,Sep 29 1928,Sat,Northern Colorado,30,,Camp Russell,0,
47,3,Sep 29 1928,Sat,Notre Dame,12,,Loyola (LA),6,
48,3,Sep 29 1928,Sat,Oklahoma State,13,,Regis (CO),6,
49,3,Sep 29 1928,Sat,Olympic Club,12,@,Stanford,6,
50,3,Sep 29 1928,Sat,Oregon State,14,,California-Davis,0,
51,3,Sep 29 1928,Sat,Penn State,25,,Lebanon Valley,0,
52,3,Sep 29 1928,Sat,Pennsylvania,34,,Ursinus,0,
53,3,Sep 29 1928,Sat,Pittsburgh,20,,Thiel,0,
54,3,Sep 29 1928,Sat,Rice,24,,Sam Houston State,6,
55,3,Sep 29 1928,Sat,Richmond,6,,Virginia Military Institute,6,
56,3,Sep 29 1928,Sat,Sewanee,14,,Bryson,0,
57,3,Sep 29 1928,Sat,South Carolina,6,@,Chicago,0,
58,3,Sep 29 1928,Sat,Southern California,40,,Utah State,12,
59,3,Sep 29 1928,Sat,Southern Methodist,31,,Howard Payne,0,
60,3,Sep 29 1928,Sat,Syracuse,14,,Hobart,6,
61,3,Sep 29 1928,Sat,Tennessee,41,,Maryville (TN),0,
62,3,Sep 29 1928,Sat,Texas,32,,St. Edward's,0,
63,3,Sep 29 1928,Sat,Texas A&M,21,,Southwestern (TX),0,
64,3,Sep 29 1928,Sat,Texas Christian,19,,Daniel Baker,0,
65,3,Sep 29 1928,Sat,Tulane,65,@,Northwestern State,0,
66,3,Sep 29 1928,Sat,Vanderbilt,20,@,Chattanooga,0,
67,3,Sep 29 1928,Sat,Virginia,66,,Randolph-Macon,0,
68,3,Sep 29 1928,Sat,Virginia Tech,34,,Roanoke,7,
69,3,Sep 29 1928,Sat,Washington,43,,Pacific (Oregon),0,
70,3,Sep 29 1928,Sat,Washington & Jefferson,24,,Bethany (West Virginia),0,
71,3,Sep 29 1928,Sat,Washington & Lee,56,,Lynchburg,0,
72,3,Sep 29 1928,Sat,Washington State,3,@,Gonzaga,0,
73,3,Sep 29 1928,Sat,West Virginia,12,,West Virginia Wesleyan,0,
74,3,Sep 29 1928,Sat,Westminster (Missouri),6,,Washington (MO),0,
75,3,Sep 29 1928,Sat,Wyoming,19,,Kearney,6,
76,3,Sep 30 1928,Sun,Oregon,45,,Pacific (Oregon),0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
77,4,Oct 5 1928,Fri,Chicago,47,,Wyoming,0,
78,4,Oct 6 1928,Sat,Alabama,27,,Mississippi,0,
79,4,Oct 6 1928,Sat,Albion,2,@,Michigan State,0,
80,4,Oct 6 1928,Sat,Arkansas,21,,Ozarks,0,
81,4,Oct 6 1928,Sat,Army,14,,Southern Methodist,13,
82,4,Oct 6 1928,Sat,Baylor,33,,Trinity (Texas),0,
83,4,Oct 6 1928,Sat,Boston College,6,@,Navy,0,
84,4,Oct 6 1928,Sat,Brigham Young,7,,California-Davis,6,
85,4,Oct 6 1928,Sat,Brown,32,,WPI,0,
86,4,Oct 6 1928,Sat,California,7,,Saint Mary's (CA),0,
87,4,Oct 6 1928,Sat,Carnegie Mellon,65,,Ashland,0,
88,4,Oct 6 1928,Sat,Chattanooga,15,@,Furman,0,
89,4,Oct 6 1928,Sat,Chicago,3,,Lake Forest,0,
90,4,Oct 6 1928,Sat,Clemson,6,@,Auburn,0,
91,4,Oct 6 1928,Sat,Colorado College,32,,Montana State,14,
92,4,Oct 6 1928,Sat,Colorado Mines,13,@,Denver,12,
93,4,Oct 6 1928,Sat,Colorado State,26,,Northern Colorado,6,
94,4,Oct 6 1928,Sat,Columbia,27,,Union (NY),0,
95,4,Oct 6 1928,Sat,Cornell,20,,Clarkson,0,
96,4,Oct 6 1928,Sat,Dartmouth,44,,Hobart,0,
97,4,Oct 6 1928,Sat,Detroit Mercy,19,@,Tulsa,14,
98,4,Oct 6 1928,Sat,Drake,40,,Simpson,6,
99,4,Oct 6 1928,Sat,Duke,25,,South Dakota,6,
100,4,Oct 6 1928,Sat,Florida,26,,Florida Southern,0,
101,4,Oct 6 1928,Sat,Fordham,20,,George Washington,0,
102,4,Oct 6 1928,Sat,Georgetown,88,,Susquehanna,0,
103,4,Oct 6 1928,Sat,Georgia,52,,Mercer,0,
104,4,Oct 6 1928,Sat,Georgia Tech,13,,Virginia Military Institute,0,
105,4,Oct 6 1928,Sat,Gonzaga,6,,Idaho,6,
106,4,Oct 6 1928,Sat,Harvard,30,,Springfield,0,
107,4,Oct 6 1928,Sat,Illinois,33,,Bradley,6,
108,4,Oct 6 1928,Sat,Indiana,10,,Oklahoma,7,
109,4,Oct 6 1928,Sat,Kansas,14,,Grinnell,0,
110,4,Oct 6 1928,Sat,Kansas State,13,@,Oklahoma State,6,
111,4,Oct 6 1928,Sat,Kentucky,61,,Carson-Newman,0,
112,4,Oct 6 1928,Sat,Louisiana State,46,,Louisiana-Lafayette,0,
113,4,Oct 6 1928,Sat,Marquette,19,,Lawrence,7,
114,4,Oct 6 1928,Sat,Minnesota,49,,Creighton,0,
115,4,Oct 6 1928,Sat,Nebraska,12,@,Iowa State,0,
116,4,Oct 6 1928,Sat,New York University,26,,West Virginia Wesleyan,7,
117,4,Oct 6 1928,Sat,North Carolina,26,@,Maryland,19,
118,4,Oct 6 1928,Sat,Northwestern,14,,Butler,0,
119,4,Oct 6 1928,Sat,Ohio State,41,,Wittenberg,0,
120,4,Oct 6 1928,Sat,Ohio Wesleyan,17,@,Michigan,7,
121,4,Oct 6 1928,Sat,Penn State,12,,Gettysburg,0,
122,4,Oct 6 1928,Sat,Pennsylvania,46,,Franklin & Marshall,0,
123,4,Oct 6 1928,Sat,Pittsburgh,53,,Bethany (West Virginia),0,
124,4,Oct 6 1928,Sat,Presbyterian,12,@,Wake Forest,7,
125,4,Oct 6 1928,Sat,Princeton,50,,Vermont,0,
126,4,Oct 6 1928,Sat,Purdue,31,,DePauw,0,
127,4,Oct 6 1928,Sat,South Carolina,24,@,Virginia,13,
128,4,Oct 6 1928,Sat,Southern California,19,,Oregon State,0,
129,4,Oct 6 1928,Sat,St. Edward's,31,@,Rice,0,
130,4,Oct 6 1928,Sat,Stanford,26,@,Oregon,12,
131,4,Oct 6 1928,Sat,Syracuse,32,,William & Mary,0,
132,4,Oct 6 1928,Sat,Tennessee,41,,Centre,7,
133,4,Oct 6 1928,Sat,Texas,12,,Texas Tech,0,
134,4,Oct 6 1928,Sat,Texas A&M,69,,Sewanee,0,Dallas TX
135,4,Oct 6 1928,Sat,Texas Christian,19,@,Hardin-Simmons,3,
136,4,Oct 6 1928,Sat,Tulane,51,@,Mississippi State,6,Jackson MS
137,4,Oct 6 1928,Sat,UCLA,32,@,California Tech,0,
138,4,Oct 6 1928,Sat,Utah,32,@,Nevada,7,
139,4,Oct 6 1928,Sat,Utah State,54,,Montana Tech,0,
140,4,Oct 6 1928,Sat,Vanderbilt,12,,Colgate,7,
141,4,Oct 6 1928,Sat,Virginia Tech,32,,Hampden-Sydney,7,
142,4,Oct 6 1928,Sat,Washington,7,,Whitman,0,
143,4,Oct 6 1928,Sat,Washington & Jefferson,24,@,Waynesburg,0,
144,4,Oct 6 1928,Sat,Washington & Lee,38,,North Carolina State,6,
145,4,Oct 6 1928,Sat,Washington (MO),9,,Missouri-Rolla,0,
146,4,Oct 6 1928,Sat,Washington State,26,@,Montana,6,
147,4,Oct 6 1928,Sat,West Virginia,28,,Haskell,7,Wheeling WV
148,4,Oct 6 1928,Sat,Wisconsin,22,,Notre Dame,6,
149,4,Oct 6 1928,Sat,Yale,27,,Maine,0,
150,4,Oct 7 1928,Sun,Iowa,26,,Monmouth,0,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
151,5,Oct 12 1928,Fri,Boston College,19,,Duke,0,
152,5,Oct 12 1928,Fri,Bucknell,6,@,Penn State,0,
153,5,Oct 12 1928,Fri,Clemson,7,,North Carolina State,0,Florence SC
154,5,Oct 12 1928,Fri,Oregon State,41,@,Portland,0,Portland OR
155,5,Oct 12 1928,Fri,Wisconsin,49,,Cornell College,0,
156,5,Oct 13 1928,Sat,Alabama,46,@,Mississippi State,0,
157,5,Oct 13 1928,Sat,Arkansas,14,,Baylor,0,Texarkana TX
158,5,Oct 13 1928,Sat,Army,44,,Providence,0,
159,5,Oct 13 1928,Sat,Brown,13,,Dayton,7,
160,5,Oct 13 1928,Sat,California,13,,Washington State,3,
161,5,Oct 13 1928,Sat,Carnegie Mellon,39,,Thiel,13,
162,5,Oct 13 1928,Sat,Centenary (LA),6,@,Texas A&M,0,
163,5,Oct 13 1928,Sat,Colgate,35,,Virginia Tech,14,
164,5,Oct 13 1928,Sat,Colorado,21,@,Northern Colorado,6,
165,5,Oct 13 1928,Sat,Colorado College,24,,Western State,6,
166,5,Oct 13 1928,Sat,Colorado State,15,,Brigham Young,6,
167,5,Oct 13 1928,Sat,Columbia,31,,Wesleyan (CT),7,
168,5,Oct 13 1928,Sat,Cornell,34,,Niagara,0,
169,5,Oct 13 1928,Sat,Creighton,37,,Oklahoma State,0,
170,5,Oct 13 1928,Sat,Dartmouth,37,,Allegheny,12,
171,5,Oct 13 1928,Sat,Davidson,52,,Elon,0,
172,5,Oct 13 1928,Sat,Detroit Mercy,46,,Louisville,0,
173,5,Oct 13 1928,Sat,Drake,26,@,Marquette,7,
174,5,Oct 13 1928,Sat,Duquesne,12,@,Washington & Jefferson,6,
175,5,Oct 13 1928,Sat,Florida,27,,Auburn,0,
176,5,Oct 13 1928,Sat,Furman,6,,Presbyterian,0,
177,5,Oct 13 1928,Sat,Georgetown,52,,Lebanon Valley,0,
178,5,Oct 13 1928,Sat,Georgia Tech,12,@,Tulane,0,
179,5,Oct 13 1928,Sat,Grinnell,3,,Iowa State,0,
180,5,Oct 13 1928,Sat,Harvard,20,,North Carolina,0,
181,5,Oct 13 1928,Sat,Idaho,26,,Whitman,13,
182,5,Oct 13 1928,Sat,Illinois,31,,Coe,0,
183,5,Oct 13 1928,Sat,Indiana,6,@,Michigan,0,
184,5,Oct 13 1928,Sat,Iowa,13,@,Chicago,0,
185,5,Oct 13 1928,Sat,Kansas,7,,Washington (MO),7,
186,5,Oct 13 1928,Sat,Kansas State,22,,Fort Hays State,7,
187,5,Oct 13 1928,Sat,Kentucky,6,,Washington & Lee,0,
188,5,Oct 13 1928,Sat,Louisiana State,41,,Louisiana College,0,
189,5,Oct 13 1928,Sat,Michigan State,37,,Chicago YMCA,0,
190,5,Oct 13 1928,Sat,Minnesota,15,,Purdue,0,
191,5,Oct 13 1928,Sat,Missouri,60,,Centre,0,
192,5,Oct 13 1928,Sat,Nebraska,26,,Montana State,6,
193,5,Oct 13 1928,Sat,New York University,34,,Fordham,7,New York NY
194,5,Oct 13 1928,Sat,Notre Dame,7,,Navy,0,Chicago IL
195,5,Oct 13 1928,Sat,Ohio State,10,@,Northwestern,0,
196,5,Oct 13 1928,Sat,Oregon,38,,Willamette,6,
197,5,Oct 13 1928,Sat,Oregon State,46,,Pacific (Oregon),0,Portland OR
198,5,Oct 13 1928,Sat,Pennsylvania,67,,Swarthmore,0,
199,5,Oct 13 1928,Sat,Rice,20,,Trinity (Texas),6,
200,5,Oct 13 1928,Sat,South Carolina,21,,Maryland,7,
201,5,Oct 13 1928,Sat,Southern California,19,,Saint Mary's (CA),6,
202,5,Oct 13 1928,Sat,Southern Methodist,6,,Hardin-Simmons,0,Wichita Falls TX
203,5,Oct 13 1928,Sat,Stanford,45,,UCLA,7,
204,5,Oct 13 1928,Sat,Syracuse,58,,Johns Hopkins,0,
205,5,Oct 13 1928,Sat,Tennessee,13,,Mississippi,12,
206,5,Oct 13 1928,Sat,Texas Christian,21,,Austin,0,
207,5,Oct 13 1928,Sat,Transylvania,14,@,Sewanee,13,
208,5,Oct 13 1928,Sat,Utah State,7,,Denver,7,
209,5,Oct 13 1928,Sat,Vanderbilt,13,@,Texas,12,Dallas TX
210,5,Oct 13 1928,Sat,Virginia,0,,Princeton,0,
211,5,Oct 13 1928,Sat,Virginia Military Institute,31,,Roanoke,13,
212,5,Oct 13 1928,Sat,Wake Forest,0,,William & Mary,0,
213,5,Oct 13 1928,Sat,Washington,25,,Montana,0,
214,5,Oct 13 1928,Sat,West Virginia,9,@,Pittsburgh,6,
215,5,Oct 13 1928,Sat,Wisconsin,13,,North Dakota State,7,
216,5,Oct 13 1928,Sat,Yale,21,,Georgia,6,
Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie,Pts,Notes
217,6,Oct 18 1928,Thu,North Carolina State,37,,Wake Forest,0,
218,6,Oct 19 1928,Fri,Clemson,52,,Erskine,0,
219,6,Oct 19 1928,Fri,South Carolina,13,,Presbyterian,0,
220,6,Oct 19 1928,Fri,Utah State,24,@,Wyoming,6,
221,6,Oct 20 1928,Sat,Army,15,@,Harvard,0,
222,6,Oct 20 1928,Sat,Baylor,28,@,Centenary (LA),7,
223,6,Oct 20 1928,Sat,Brigham Young,46,@,Western State,0,
224,6,Oct 20 1928,Sat,Butler,13,,Washington (MO),7,
225,6,Oct 20 1928,Sat,Carnegie Mellon,19,,Washington & Jefferson,0,
226,6,Oct 20 1928,Sat,Citadel,26,,Davidson,12,
227,6,Oct 20 1928,Sat,Colgate,16,@,Michigan State,0,
228,6,Oct 20 1928,Sat,Colorado,39,,Colorado Mines,0,
229,6,Oct 20 1928,Sat,Colorado College,18,@,Denver,13,
230,6,Oct 20 1928,Sat,Cornell,18,,Hampden-Sydney,6,
231,6,Oct 20 1928,Sat,Dartmouth,21,,Columbia,7,
232,6,Oct 20 1928,Sat,Detroit Mercy,27,,Loyola (LA),0,
233,6,Oct 20 1928,Sat,Drake,19,,Grinnell,7,
234,6,Oct 20 1928,Sat,Florida,73,,Mercer,0,
235,6,Oct 20 1928,Sat,Fordham,19,@,Holy Cross,13,
236,6,Oct 20 1928,Sat,Georgetown,34,,West Virginia Wesleyan,7,
237,6,Oct 20 1928,Sat,Georgia,7,,Furman,0,
238,6,Oct 20 1928,Sat,Georgia Tech,13,,Notre Dame,0,
239,6,Oct 20 1928,Sat,Illinois,13,,Indiana,7,
240,6,Oct 20 1928,Sat,Iowa,61,,Ripon,6,
241,6,Oct 20 1928,Sat,Kansas,7,@,Kansas State,0,
242,6,Oct 20 1928,Sat,Louisiana State,31,@,Mississippi State,0,Jackson MS
243,6,Oct 20 1928,Sat,Maryland,13,,McDaniel,6,
244,6,Oct 20 1928,Sat,Minnesota,33,,Chicago,7,
245,6,Oct 20 1928,Sat,Mississippi,19,@,Auburn,0,Birmingham AL
246,6,Oct 20 1928,Sat,Missouri,28,,Iowa State,19,
247,6,Oct 20 1928,Sat,Montana,20,,Montana Tech,0,
248,6,Oct 20 1928,Sat,Montana State,6,,Northern Colorado,2,
249,6,Oct 20 1928,Sat,Navy,6,,Duke,0,
250,6,Oct 20 1928,Sat,Nebraska,7,,Syracuse,6,
251,6,Oct 20 1928,Sat,New York University,48,,Rutgers,0,Bronx NY
252,6,Oct 20 1928,Sat,Northwestern,7,,Kentucky,0,
253,6,Oct 20 1928,Sat,Ohio State,19,,Michigan,7,
254,6,Oct 20 1928,Sat,Oklahoma,7,@,Creighton,0,
255,6,Oct 20 1928,Sat,Oregon,27,,Washington,0,Portland OR
256,6,Oct 20 1928,Sat,Pennsylvania,14,,Penn State,0,
