Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie ▴,Pts,Notes
1,2,Sep 18 1965,Sat,Wyoming,31,,Air Force,14,
2,3,Sep 25 1965,Sat,(2) Nebraska,27,@,Air Force,17,
3,4,Oct 2 1965,Sat,Stanford,17,@,Air Force,16,
4,5,Oct 9 1965,Sat,California,24,@,Air Force,7,
5,8,Oct 30 1965,Sat,UCLA,10,@,Air Force,0,
6,11,Nov 20 1965,Sat,Colorado,19,@,Air Force,6,
7,2,Sep 18 1965,Sat,Georgia,18,,(5) Alabama,17,
8,6,Oct 16 1965,Sat,Tennessee,7,,Alabama,7,Birmingham AL
9,2,Sep 18 1965,Sat,Brigham Young,24,@,Arizona State,6,
10,3,Sep 25 1965,Sat,Utah State,13,@,Arizona State,0,
11,4,Oct 2 1965,Sat,West Texas A&M,22,,Arizona State,14,
12,6,Oct 16 1965,Sat,San Jose State,21,,Arizona State,14,
13,4,Oct 2 1965,Sat,Wyoming,19,,Arizona,0,
14,5,Oct 9 1965,Sat,New Mexico,24,@,Arizona,2,
15,6,Oct 16 1965,Sat,Washington State,21,,Arizona,3,Spokane WA
16,7,Oct 23 1965,Sat,San Jose State,13,@,Arizona,7,
17,10,Nov 13 1965,Sat,Air Force,34,@,Arizona,7,
18,11,Nov 20 1965,Sat,Brigham Young,20,@,Arizona,3,
19,12,Nov 27 1965,Sat,Arizona State,14,,Arizona,6,
20,16,Jan 1 1966,Sat,Louisiana State,14,,(2) Arkansas,7,Cotton Bowl (Dallas TX)
21,2,Sep 18 1965,Sat,Tennessee,21,,Army,0,
22,5,Oct 9 1965,Sat,(7) Notre Dame,17,@,Army,0,Flushing NY
23,7,Oct 23 1965,Sat,Stanford,31,,Army,14,
24,8,Oct 30 1965,Sat,Colgate,29,@,Army,28,
25,9,Nov 6 1965,Sat,Air Force,14,,Army,3,Chicago IL
26,12,Nov 27 1965,Sat,Navy,7,,Army,7,Philadelphia PA
27,2,Sep 18 1965,Sat,Baylor,14,@,Auburn,8,
28,6,Oct 16 1965,Sat,Georgia Tech,23,,Auburn,14,
29,7,Oct 23 1965,Sat,Southern Mississippi,3,@,Auburn,0,
30,12,Nov 27 1965,Sat,(5) Alabama,30,,Auburn,3,Birmingham AL
31,15,Dec 18 1965,Sat,Mississippi,13,,Auburn,7,Liberty Bowl (Memphis TN)
32,4,Oct 2 1965,Sat,Florida State,9,,Baylor,7,
33,5,Oct 9 1965,Sat,(3) Arkansas,38,@,Baylor,7,
34,8,Oct 30 1965,Sat,Texas Christian,10,@,Baylor,7,
35,9,Nov 6 1965,Sat,Texas,35,,Baylor,14,
