Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
UCLA,Bob Toledo [1849],,11,95,30,131,7,66,18,198
Middle Tennessee State,Andy McCollum [1190],,47,95,77,131,37,66,38,198
Wake Forest,Jim Grobe [736],,59,95,52,131,69,66,5,198
New Mexico,Rocky Long [1116],,52,95,82,131,81,66,14,198
Southern Mississippi,Jeff Bower [169],,107,95,66,131,76,66,21,198
California,Tom Holmoe [870],,42,95,111,131,64,66,105,198
Cincinnati,Rick Minter [1283],,90,95,75,131,69,66,36,198
Troy,Larry Blakeney [150],,33,95,90,131,42,66,92,198
Tennessee,Phillip Fulmer [664],,21,95,1,131,1,66,29,198
Memphis,Tommy West [1955],,102,95,76,131,73,66,102,198
Mississippi,David Cutcliffe [426],,45,95,19,131,33,66,2,198
Purdue,Joe Tiller [1840],,51,95,49,131,42,66,23,198
Clemson,Tommy Bowden [168],,56,95,33,131,64,66,52,198
Virginia Tech,Frank Beamer [102],,31,95,50,131,20,66,12,198
Temple,Bobby Wallace [1915],,91,95,96,131,69,66,66,198
Alabama-Birmingham,Watson Brown [209],,101,95,73,131,88,66,55,198
Kansas State,Bill Snyder [1716],,14,95,61,131,33,66,15,198
Wyoming,Vic Koenning [1035],,79,95,107,131,85,66,104,198
Kansas,Terry Allen [20],Tom Hayes [811],16,95,89,131,59,66,85,198
Penn State,Joe Paterno [1433],,66,95,45,131,64,66,82,198
Northern Illinois,Joe Novak [1376],,93,95,68,131,92,66,30,198
Buffalo,Jim Hofher [855],,100,95,100,131,108,66,79,198
Boise State,Dan Hawkins [807],,62,95,32,131,12,66,22,198
Louisville,John Smith [1705],,30,95,34,131,37,66,6,198
Missouri,Gary Pinkel [1467],,18,95,80,131,55,66,103,198
East Carolina,Steve Logan [1113],,64,95,72,131,77,66,73,198
Oregon,Mike Bellotti [113],,3,95,9,131,1,66,65,198
Miami (OH),Terry Hoeppner [853],,82,95,51,131,50,66,63,198
Bowling Green State,Urban Meyer [1259],,83,95,39,131,52,66,49,198
Vanderbilt,Woody Widenhofer [1974],,48,95,113,131,59,66,91,198
Marshall,Bob Pruett [1498],,28,95,38,131,7,66,24,198
South Florida,Jim Leavitt [1083],,103,95,79,131,95,66,19,198
Wisconsin,Barry Alvarez [25],,72,95,57,131,55,66,107,198
Akron,Lee Owens [1415],,96,95,87,131,88,66,89,198
Colorado State,Sonny Lubick [1124],,74,95,63,131,46,66,17,198
Duke,Carl Franks [648],,69,95,0,131,99,66,87,198
Brigham Young,Gary Crowton [408],,41,95,43,131,42,66,11,198
Washington,Rick Neuheisel [1357],,9,95,10,131,26,66,13,198
Illinois,Ron Turner [1869],,25,95,25,131,33,66,48,198
Louisiana-Lafayette,Jerry Baldwin [70],,114,95,103,131,113,66,83,198
Arizona State,Dirk Koetter [1036],,37,95,84,131,64,66,110,198
Rutgers,Greg Schiano [1634],,98,95,106,131,104,66,116,198
Kent State,Dean Pees [1443],,92,95,65,131,90,66,32,198
Connecticut,Randy Edsall [547],,105,95,105,131,99,66,100,198
Arizona,John Mackovic [1136],,36,95,88,131,59,66,101,198
Kentucky,Guy Morriss [1311],,46,95,91,131,55,66,77,198
Air Force,Fisher DeBerry [452],,76,95,78,131,83,66,81,198
Utah,Ron McBride [1178],,77,95,58,131,50,66,45,198
Georgia,Mark Richt [1548],,29,95,4,131,12,66,10,198
Nebraska,Frank Solich [1721],,2,95,14,131,22,66,51,198
Fresno State,Pat Hill [847],,71,95,20,131,18,66,20,198
Syracuse,Paul Pasqualoni [1432],,13,95,22,131,18,66,62,198
Army,Todd Berry [125],,109,95,101,131,111,66,96,198
South Carolina,Lou Holtz [876],,27,95,16,131,7,66,59,198
Baylor,Kevin Steele [1741],,19,95,97,131,79,66,113,198
Eastern Michigan,Jeff Woodruff [2018],,106,95,109,131,104,66,95,198
Florida State,Bobby Bowden [166],,55,95,18,131,7,66,64,198
Alabama,Dennis Franchione [645],,39,95,26,131,12,66,4,198
Florida,Steve Spurrier [1728],,22,95,3,131,5,66,46,198
Oregon State,Dennis Erickson [576],,38,95,47,131,55,66,93,198
Tulsa,Keith Burns [226],,88,95,0,131,108,66,106,198
Texas Tech,Mike Leach [1079],,17,95,53,131,26,66,8,198
Nevada-Las Vegas,John Robinson [1564],,75,95,85,131,82,66,94,198
Miami (FL),Larry Coker [332],,1,95,7,131,1,66,1,198
Navy,Rick Lantz [1066],Charlie Weatherbie [1939],112,95,0,131,116,66,67,198
San Jose State,Fitz Hill [845],,84,95,95,131,95,66,68,198
Maryland,Ralph Friedgen [654],,32,95,23,131,12,66,16,198
New Mexico State,Tony Samuel [1612],,53,95,94,131,104,66,108,198
West Virginia,Rich Rodriguez [1573],,34,95,92,131,73,66,69,198
Boston College,Tom O'Brien [1384],,15,95,31,131,33,66,7,198
Ohio,Brian Knorr [1031],,99,95,110,131,92,66,114,198
Idaho,Tom Cable [232],,117,95,108,131,116,66,72,198
San Diego State,Ted Tollner [1852],,78,95,93,131,84,66,97,198
Virginia,Al Groh [737],,63,95,42,131,59,66,109,198
Texas,Mack Brown [204],,6,95,11,131,24,66,33,198
Ball State,Bill Lynch [1130],,94,95,54,131,59,66,43,198
Texas-El Paso,Gary Nord [1372],,87,95,112,131,104,66,74,198
Northwestern,Randy Walker [1913],,68,95,69,131,69,66,98,198
Southern California,Pete Carroll [270],,35,95,56,131,52,66,25,198
Arkansas State,Joe Hollis [865],,116,95,104,131,111,66,76,198
Oklahoma State,Les Miles [1267],,20,95,28,131,77,66,99,198
Washington State,Mike Price [1492],,4,95,15,131,5,66,31,198
