Rank,Name,Won,Lost,Tied,Pct.
1,Portland,23,0,2,0.960
,Penn St.,23,0,2,0.960
3,North Carolina,23,1,1,0.940
4,UCLA,22,2,2,0.885
5,Notre Dame,22,3,0,0.880
6,Alabama A&M,15,2,2,0.842
7,Lehigh,14,2,2,0.833
8,Cal St. Fullerton,19,4,0,0.826
9,UTEP,20,4,1,0.820
,Florida St.,20,4,1,0.820
11,Marquette,19,4,1,0.813
12,BYU,15,2,4,0.810
,Niagara,16,3,2,0.810
,Central Conn. St.,17,4,0,0.810
15,Ball St.,15,3,2,0.800
16,Vanderbilt,16,3,3,0.795
17,Texas A&M,18,4,2,0.792
18,Fla. Atlantic,16,4,1,0.786
19,Stephen F. Austin,14,4,0,0.778
20,Yale,15,4,1,0.775
21,California,16,4,2,0.773
,North Texas,16,4,2,0.773
23,Saint Louis,16,5,0,0.762
24,Loyola Maryland,15,5,0,0.750
,Pepperdine,15,4,3,0.750
,Western Caro.,18,6,0,0.750
,Santa Clara,17,5,2,0.750
28,Virginia,18,6,1,0.740
29,Samford,15,4,4,0.739
30,Hofstra,14,4,3,0.738
31,SMU,15,5,2,0.727
,UConn,15,5,2,0.727
33,Davidson,14,5,2,0.714
,Weber St.,14,5,2,0.714
,Ole Miss,14,5,2,0.714
36,Gonzaga,12,4,4,0.700
,Middle Tenn.,13,5,2,0.700
,Jackson St.,13,5,2,0.700
39,Tennessee,15,6,2,0.696
,Boston U.,14,5,4,0.696
41,Colgate,12,5,1,0.694
,Dartmouth,12,5,1,0.694
,South Ala.,12,5,1,0.694
44,Duke,14,6,1,0.690
45,Coastal Caro.,13,6,0,0.684
,UNC Asheville,13,6,0,0.684
47,Furman,14,6,2,0.682
48,Florida,13,6,1,0.675
,LIU Brooklyn,13,6,1,0.675
,Northwestern St.,13,6,1,0.675
,Oklahoma,13,6,1,0.675
,Southeast Mo. St.,13,6,1,0.675
,Long Beach St.,12,5,3,0.675
54,VCU,13,5,5,0.674
