Coach Unknown: (0.4406580143224885, 0.4638083306318641) -- 2560
Meridy Glenn: (0.5576939387601474, 1.1433557634879086) -- 4
Patrick Farmer: (0.5941639871030615, 1.270428011424382) -- 3
Gene Ventriglia: (0.6010787987360482, 1.1249106595031846) -- 5
Jim Rudy: (0.6241405913559552, 1.3004046156772757) -- 3
Ben Popoola: (0.6807023108758221, 1.2045341716429587) -- 5
Bill Hempen: (0.7128776584442281, 1.1555963843339294) -- 7
Ray Leone: (0.7163697540646106, 1.0867748150146201) -- 10
Tony Da Luz: (0.7190771213809765, 1.072244489864044) -- 11
Markus Roeders: (0.7208017142131163, 1.1112429306982905) -- 9
Bob Sheehan: (0.7222173585798286, 1.1363428063269159) -- 8
Carin Gabarra: (0.7247689783314583, 1.0629009904921185) -- 12
John Walker: (0.7298419091476737, 1.1439673568947608) -- 8
Mike Tucker: (0.735152189861351, 1.0883195583444185) -- 11
Jeff Hooker: (0.7445009470329486, 1.0826329591936088) -- 12
Mark Krikorian: (0.7504514117272961, 1.1408926282124703) -- 9
Jennifer Rockwood: (0.7524315058751677, 1.090563518035828) -- 12
Phil Pincince: (0.7542756270505848, 1.168401074797672) -- 8
Steve Swanson: (0.7576973613788074, 1.128102422328817) -- 10
Joe Pereira: (0.7595602348898542, 1.1299652958398638) -- 10
Peter Albright: (0.7610596491732521, 1.1751850969203392) -- 8
Nancy Feldman: (0.7800770180859034, 1.133244386568971) -- 11
Chris Petrucelli: (0.7847690471367528, 1.1229010592974131) -- 12
David Lombardo: (0.790501840124062, 1.1609069010740716) -- 10
G. Guerrieri: (0.7926996059789719, 1.1308316181396323) -- 12
John Daly: (0.800576509961669, 1.1537438784447365) -- 11
Randy Waldrum: (0.806093232460391, 1.1592606009434585) -- 11
Jerry Smith: (0.8061448677119076, 1.1593122361949753) -- 11
Becky Burleigh: (0.8069939116420884, 1.1773989725920981) -- 10
Len Tsantiris: (0.8078898925975789, 1.1782949535475886) -- 10
Anson Dorrance: (0.8309339939196698, 1.1690660060803302) -- 12
