Ben Popoola: (-0.01806189384967788, 0.6914502899976307) -- 5
Jim Rudy: (-0.014709077741292709, 0.6948031061060158) -- 3
Gene Ventriglia: (0.08675569350148093, 0.6660699657393726) -- 5
Meridy Glenn: (0.09041581877203109, 0.6697300910099228) -- 4
Patrick Farmer: (0.09539759687036864, 0.8049097807176772) -- 3
Bill Hempen: (0.11744777418594196, 0.5661826799054668) -- 7
Markus Roeders: (0.1240594738306201, 0.5336965241681829) -- 9
Bob Sheehan: (0.1255269942575663, 0.5351640445951291) -- 8
John Walker: (0.128089499988305, 0.5377265503258678) -- 8
Phil Pincince: (0.13547164905088666, 0.5451086993884495) -- 8
Peter Albright: (0.13820628196783963, 0.5478433323054024) -- 8
Ray Leone: (0.15326612174594165, 0.5080222136695959) -- 10
Joe Pereira: (0.15331876402634473, 0.508074855949999) -- 10
Tony Da Luz: (0.15957805909326456, 0.4768815538826466) -- 11
Steve Swanson: (0.1636981366533046, 0.5184542285769589) -- 10
Coach Unknown: (0.1647471689661598, 0.18735984690763527) -- 2560
Len Tsantiris: (0.1661058177318053, 0.5453560325458614) -- 10
David Lombardo: (0.17216388901344024, 0.5269199809370945) -- 10
Becky Burleigh: (0.17524956077614975, 0.530005652699804) -- 10
Nancy Feldman: (0.1797468401467503, 0.4970503349361323) -- 11
Mark Krikorian: (0.18150323218280914, 0.515970483204748) -- 9
Mike Tucker: (0.1821143839920681, 0.516581635014007) -- 11
Carin Gabarra: (0.18338644209883853, 0.48592345381739804) -- 12
Jeff Hooker: (0.18527359247146574, 0.48781060419002525) -- 12
Jerry Smith: (0.18535910927490382, 0.5198263602968427) -- 11
Jennifer Rockwood: (0.18538026822455883, 0.48791727994311834) -- 12
John Daly: (0.1871514189512371, 0.5044549137406191) -- 11
Randy Waldrum: (0.18915513893691682, 0.5064586337262988) -- 11
G. Guerrieri: (0.1960927994032446, 0.4986298111218041) -- 12
Anson Dorrance: (0.20270615431526512, 0.5052431660338246) -- 12
Chris Petrucelli: (0.2142819418270266, 0.516818953545586) -- 12
