Teamname,Coach,Secondary,NickRank,NickInv,PageRank,PageRankInv,ApproxRank,ApproxInv,WinLossRank,WinLossInv
North Carolina,Anson Dorrance,,,,,,1,,,
UConn,Len Tsantiris,,,,,,2,,,
Florida,Becky Burleigh,,,,,,3,,,
Santa Clara,Jerry Smith,,,,,,4,,,
Notre Dame,Randy Waldrum,,,,,,5,,,
William & Mary,John Daly,,,,,,6,,,
James Madison,David Lombardo,,,,,,7,,,
Texas A&M,G. Guerrieri,,,,,,8,,,
Texas,Chris Petrucelli,,,,,,9,,,
Boston U.,Nancy Feldman,,,,,,10,,,
Florida St.,Mark Krikorian,,,,,,11,,,
Appalachian St.,Ben Popoola,,,,,,12,,,
Virginia,Steve Swanson,,,,,,13,,,
BYU,Jennifer Rockwood,,,,,,14,,,
Denver,Jeff Hooker,,,,,,15,,,
Dayton,Mike Tucker,,,,,,16,,,
Navy,Carin Gabarra,,,,,,17,,,
Marquette,Markus Roeders,,,,,,18,,,
Wake Forest,Tony Da Luz,,,,,,19,,,
Harvard,Ray Leone,,,,,,20,,,
UCLA,Coach Unknown,,,,,,21,,,
Purdue,Coach Unknown,,,,,,22,,,
Southern California,Coach Unknown,,,,,,23,,,
Western Ill.,Coach Unknown,,,,,,24,,,
Hofstra,Coach Unknown,,,,,,25,,,
Portland,Coach Unknown,,,,,,26,,,
Kennesaw St.,Coach Unknown,,,,,,27,,,
Memphis,Coach Unknown,,,,,,28,,,
Penn St.,Coach Unknown,,,,,,29,,,
Georgia,Coach Unknown,,,,,,30,,,
San Diego,Coach Unknown,,,,,,31,,,
Southeast Mo. St.,Coach Unknown,,,,,,32,,,
Western Ky.,Coach Unknown,,,,,,33,,,
Stanford,Coach Unknown,,,,,,34,,,
West Virginia,Coach Unknown,,,,,,35,,,
Charlotte,Coach Unknown,,,,,,36,,,
Penn,Coach Unknown,,,,,,37,,,
UNC Greensboro,Coach Unknown,,,,,,38,,,
UCF,Coach Unknown,,,,,,39,,,
Samford,Coach Unknown,,,,,,40,,,
California,Coach Unknown,,,,,,41,,,
Coastal Caro.,Coach Unknown,,,,,,42,,,
Hawaii,Coach Unknown,,,,,,43,,,
Tennessee,Coach Unknown,,,,,,44,,,
Davidson,Coach Unknown,,,,,,45,,,
Furman,Coach Unknown,,,,,,46,,,
Milwaukee,Coach Unknown,,,,,,47,,,
Ball St.,Coach Unknown,,,,,,48,,,
Stephen F. Austin,Coach Unknown,,,,,,49,,,
Sacramento St.,Coach Unknown,,,,,,50,,,
Wright St.,Coach Unknown,,,,,,51,,,
Toledo,Coach Unknown,,,,,,52,,,
Oklahoma St.,Coach Unknown,,,,,,53,,,
South Carolina,Coach Unknown,,,,,,54,,,
Illinois St.,Coach Unknown,,,,,,55,,,
Louisville,Coach Unknown,,,,,,56,,,
Villanova,Coach Unknown,,,,,,57,,,
Monmouth,Coach Unknown,,,,,,58,,,
Utah,Coach Unknown,,,,,,59,,,
McNeese St.,Coach Unknown,,,,,,60,,,
Belmont,Coach Unknown,,,,,,61,,,
Charleston So.,Coach Unknown,,,,,,62,,,
Marist,Coach Unknown,,,,,,63,,,
Washington St.,Coach Unknown,,,,,,64,,,
St. John's (NY),Coach Unknown,,,,,,65,,,
Loyola Marymount,Coach Unknown,,,,,,66,,,
North Texas,Coach Unknown,,,,,,67,,,
Boston College,Coach Unknown,,,,,,68,,,
Rhode Island,Coach Unknown,,,,,,69,,,
Long Beach St.,Coach Unknown,,,,,,70,,,
Jackson St.,Coach Unknown,,,,,,71,,,
Yale,Coach Unknown,,,,,,72,,,
LSU,Coach Unknown,,,,,,73,,,
Fresno St.,Coach Unknown,,,,,,74,,,
UNLV,Coach Unknown,,,,,,75,,,
Evansville,Coach Unknown,,,,,,76,,,
UTEP,Coach Unknown,,,,,,77,,,
Georgetown,Coach Unknown,,,,,,78,,,
Indiana,Coach Unknown,,,,,,79,,,
East Tenn. St.,Coach Unknown,,,,,,80,,,
Fordham,Coach Unknown,,,,,,81,,,
Northern Ill.,Coach Unknown,,,,,,82,,,
Middle Tenn.,Coach Unknown,,,,,,83,,,
Gonzaga,Coach Unknown,,,,,,84,,,
Illinois,Coach Unknown,,,,,,85,,,
Rice,Coach Unknown,,,,,,86,,,
Missouri,Coach Unknown,,,,,,87,,,
Duquesne,Coach Unknown,,,,,,88,,,
Saint Louis,Coach Unknown,,,,,,89,,,
Colorado Col.,Coach Unknown,,,,,,90,,,
American,Coach Unknown,,,,,,91,,,
East Carolina,Coach Unknown,,,,,,92,,,
UT Martin,Coach Unknown,,,,,,93,,,
Loyola Chicago,Coach Unknown,,,,,,94,,,
New Hampshire,Coach Unknown,,,,,,95,,,
Mercer,Coach Unknown,,,,,,96,,,
UC Irvine,Coach Unknown,,,,,,97,,,
Northwestern St.,Coach Unknown,,,,,,98,,,
Loyola Maryland,Coach Unknown,,,,,,99,,,
Mississippi Val.,Coach Unknown,,,,,,100,,,
Fairfield,Coach Unknown,,,,,,101,,,
Clemson,Coach Unknown,,,,,,102,,,
South Dakota St.,Coach Unknown,,,,,,103,,,
FGCU,Coach Unknown,,,,,,104,,,
North Dakota St.,Coach Unknown,,,,,,105,,,
Central Ark.,Coach Unknown,,,,,,106,,,
Presbyterian,Coach Unknown,,,,,,107,,,
North Florida,Coach Unknown,,,,,,108,,,
Bakersfield,Coach Unknown,,,,,,109,,,
NJIT,Coach Unknown,,,,,,110,,,
USC Upstate,Coach Unknown,,,,,,111,,,
